asset	subAsset	kind	detail
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_24	Mesh	verts=1720 tris=2540 submeshes=1 readable=False bounds=(2.11, 0.95, 2.18)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_25	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.15, 0.72, 0.15)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_26	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.15, 0.72, 0.15)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_27	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.15, 0.72, 0.15)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_28	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.15, 0.72, 0.15)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_29	Mesh	verts=3564 tris=6050 submeshes=1 readable=False bounds=(2.22, 2.12, 3.34)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_30	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.08, 0.17, 0.08)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_31	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.08, 0.17, 0.08)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_32	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.08, 0.17, 0.08)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_33	Mesh	verts=1481 tris=2276 submeshes=1 readable=False bounds=(6.59, 4.41, 4.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_34	Mesh	verts=1532 tris=2276 submeshes=1 readable=False bounds=(6.59, 4.41, 4.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_35	Mesh	verts=1481 tris=2276 submeshes=1 readable=False bounds=(6.59, 4.41, 4.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_36	Mesh	verts=1532 tris=2276 submeshes=1 readable=False bounds=(6.59, 4.41, 4.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_37	Mesh	verts=546 tris=824 submeshes=1 readable=False bounds=(8.40, 0.69, 5.05)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_38	Mesh	verts=84 tris=100 submeshes=1 readable=False bounds=(0.26, 1.79, 0.26)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_39	Mesh	verts=2417 tris=3508 submeshes=1 readable=False bounds=(1.32, 1.50, 1.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_40	Mesh	verts=546 tris=824 submeshes=1 readable=False bounds=(8.40, 0.69, 5.05)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_41	Mesh	verts=84 tris=100 submeshes=1 readable=False bounds=(0.26, 1.79, 0.26)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_42	Mesh	verts=2417 tris=3508 submeshes=1 readable=False bounds=(1.32, 1.50, 1.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_43	Mesh	verts=546 tris=824 submeshes=1 readable=False bounds=(8.40, 0.69, 5.05)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_44	Mesh	verts=84 tris=100 submeshes=1 readable=False bounds=(0.26, 1.79, 0.26)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_45	Mesh	verts=2417 tris=3508 submeshes=1 readable=False bounds=(1.32, 1.50, 1.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_46	Mesh	verts=546 tris=824 submeshes=1 readable=False bounds=(8.40, 0.69, 5.05)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_47	Mesh	verts=84 tris=100 submeshes=1 readable=False bounds=(0.26, 1.79, 0.26)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_48	Mesh	verts=2417 tris=3508 submeshes=1 readable=False bounds=(1.32, 1.50, 1.32)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_49	Mesh	verts=258 tris=384 submeshes=1 readable=False bounds=(0.42, 0.14, 0.37)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_50	Mesh	verts=258 tris=384 submeshes=1 readable=False bounds=(0.42, 0.14, 0.37)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_51	Mesh	verts=258 tris=384 submeshes=1 readable=False bounds=(0.42, 0.14, 0.37)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_52	Mesh	verts=258 tris=384 submeshes=1 readable=False bounds=(0.42, 0.14, 0.37)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_53	Mesh	verts=182 tris=264 submeshes=1 readable=False bounds=(0.74, 0.43, 0.74)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_54	Mesh	verts=182 tris=264 submeshes=1 readable=False bounds=(0.74, 0.43, 0.74)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_55	Mesh	verts=182 tris=264 submeshes=1 readable=False bounds=(0.74, 0.43, 0.74)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_56	Mesh	verts=182 tris=264 submeshes=1 readable=False bounds=(0.74, 0.43, 0.74)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_57	Mesh	verts=536 tris=720 submeshes=1 readable=False bounds=(1.42, 0.41, 1.42)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_58	Mesh	verts=536 tris=720 submeshes=1 readable=False bounds=(1.42, 0.41, 1.42)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_59	Mesh	verts=536 tris=720 submeshes=1 readable=False bounds=(1.42, 0.41, 1.42)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_60	Mesh	verts=536 tris=720 submeshes=1 readable=False bounds=(1.42, 0.41, 1.42)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_61	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_62	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_63	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_64	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_65	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_66	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_67	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_68	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_69	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_70	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_71	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_72	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_73	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_74	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_75	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_76	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.12, 0.18, 0.12)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	barrelSG	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	tulip1SG	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	tulip2SG	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	tulip3SG	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	tulip4SG	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_0 	Texture2D	2048x2048 fmt=RGB24 mips=12 estMB=16.8
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_1 	Texture2D	2048x2048 fmt=RGB24 mips=12 estMB=16.8
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_2 	Texture2D	2048x2048 fmt=RGBA32 mips=12 estMB=22.4
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_3 	Texture2D	2048x2048 fmt=RGB24 mips=12 estMB=16.8
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_4 	Texture2D	2048x2048 fmt=RGBA32 mips=12 estMB=22.4
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_5 	Texture2D	2048x2048 fmt=RGB24 mips=12 estMB=16.8
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_6 	Texture2D	2048x2048 fmt=RGB24 mips=12 estMB=16.8
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Texture_7 	Texture2D	2048x2048 fmt=RGB24 mips=12 estMB=16.8
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Object_0	Mesh	verts=32 tris=16 submeshes=1 readable=False bounds=(35.77, 36.46, 0.08)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Object_1	Mesh	verts=573 tris=576 submeshes=1 readable=False bounds=(44.21, 44.05, 43.92)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Object_2	Mesh	verts=3297 tris=3596 submeshes=1 readable=False bounds=(47.76, 48.43, 33.94)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Object_3	Mesh	verts=2208 tris=2408 submeshes=1 readable=False bounds=(40.63, 43.27, 31.35)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Object_4	Mesh	verts=1452 tris=1584 submeshes=1 readable=False bounds=(38.47, 36.10, 27.93)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	Object_5	Mesh	verts=2268 tris=2472 submeshes=1 readable=False bounds=(42.76, 45.51, 30.82)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb	Metal_Table	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb	Texture_2 _02	Texture2D	2048x2048 fmt=DXT5 mips=12 estMB=5.6
Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb	Object_0	Mesh	verts=65532 tris=123608 submeshes=1 readable=False bounds=(1.64, 0.91, 0.82)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb	Object_1	Mesh	verts=65532 tris=122204 submeshes=1 readable=False bounds=(2.09, 0.91, 0.85)
