scene,object_path,renderer,prev_cast,new_cast,prev_receive,new_receive,mesh_triangles,status
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (7)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (5)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (22)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (15)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (20)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (12)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (19)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (10)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (14)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (9)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
