path	guid	type	sizeBytes	tags
Assets/Animated Tropical Vegetation/Textures/banana_tree_1_leaf_normal.png	c8cb6bcdc6da8124a9657b8c56d20ce0	Texture2D	106321	-
Assets/Animated Tropical Vegetation/Textures/banana_tree_2_bark_color.png	7ac2cea0b636797458d737224a15a552	Texture2D	582471	-
Assets/Animated Tropical Vegetation/Textures/banana_tree_2_bark_normal.png	2d6c9f5040b106d408492c311ff84a0b	Texture2D	521382	-
Assets/Animated Tropical Vegetation/Textures/banana_tree_2_leaves_color.png	09cdf22bce7c98c4592afbf0a446df48	Texture2D	662550	-
Assets/Animated Tropical Vegetation/Textures/banana_tree_2_leaves_normal.png	7e8152e70cc8c9d4c9746f1ffcd68a8c	Texture2D	438298	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_1_billboard_color.png	c893931e98586674aa44d16a550ea3b9	Texture2D	383152	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_1_billboard_normal.png	e93799deb6a81e643822b623d793b15d	Texture2D	102478	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_2_billboard_color.png	1a12cf6c7ec866343befe8c7115e16a3	Texture2D	403375	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_2_billboard_normal.png	eae1447280aace14d8484e50020712aa	Texture2D	119911	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_3_billboard_color.png	fefb3272401d73d4cb4534f76277ab56	Texture2D	612495	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_3_billboard_normal.png	c41c2d10c858e754883283f70896d014	Texture2D	161436	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_4_billboard_color.png	0d4339111bd75f4408c7c47684015c5d	Texture2D	844994	-
Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_4_billboard_normal.png	dd5372ccadf0b624bbb104c1f08ca7f6	Texture2D	222263	-
Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_1_billboard_color.png	87ed4bac76b9e3741b4576ddcf328930	Texture2D	493215	-
Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_1_billboard_normal.png	64326b06d414a7641a0b44be09b9bc88	Texture2D	57927	-
Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_2_billboard_color.png	96a4048256d22c94aa120a92f42d1d08	Texture2D	394146	-
Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_2_billboard_normal.png	4a349d90006e60f438c5f5cc9aef28af	Texture2D	65130	-
Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_3_billboard_color.png	1ab72d7c83b69054bbf94f52f5f2d9d3	Texture2D	408889	-
Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_3_billboard_normal.png	312a44885d571684ca1ef229363a72f0	Texture2D	70088	-
Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_4_billboard_color.png	882e2b6b17a55e14fa6c713f2fcab70f	Texture2D	382423	-
