prefab,pathObject,rendererCount,totalVertices,totalTriangles,materialSlots,meshColliderCount,meshColliderTriangles,lodGroupCount,shadowCasters,architectureCandidate
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Towel Holder.prefab","Towel Holder",1,23657,24624,2,1,24624,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Wash Basin.prefab","Wash Basin",2,616,468,3,1,0,0,2,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Washingmachine-1.prefab","Washingmachine-1",1,484,388,1,1,388,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Washingmachine-2.prefab","Washingmachine-2",1,470,410,1,1,410,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/Bed side_table.prefab","Bed side_table",1,212,138,1,1,138,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/Bed.prefab","Bed",4,5192,7560,4,1,0,0,4,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/BedRoom carpet.prefab","BedRoom carpet",1,88,66,1,1,66,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/Bedside_lamp.prefab","Bedside_lamp",1,1450,1260,2,1,1260,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/bedsider.prefab","bedsider",1,1440,1188,1,1,1188,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/Dressing_mirror.prefab","Dressing_mirror",1,365,276,2,1,276,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/fotostand.prefab","fotostand",1,24,12,1,1,12,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/PhotoFrames.prefab","PhotoFrames",4,348,192,4,1,0,0,4,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Common/AirConditioner.prefab","AirConditioner",1,295,284,1,1,284,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Common/lamp.prefab","lamp",1,1414,1556,2,1,1556,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Common/Magazine-2.prefab","Magazine-2",1,544,498,1,1,498,0,1,True
