path,width,height,format,isReadable,mipmapCount,runtimeMemoryBytes,fileBytes,maxTextureSize,textureCompression,crunched,alphaSource,sRGBTexture,wrapMode,filterMode
"Assets/Animated Tropical Vegetation/Textures/tropical_plant_leaf_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,183729,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb",4096,4096,"RGBA_DXT1_SRGB",False,13,22370624,20589840,0,,False,,False,"Repeat","Point"
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Textures/PrivacyLaw_Figure01.png",1920,1080,"RGBA_DXT1_SRGB",False,1,2074576,217242,2048,CompressedHQ,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Textures/PrivacyLaw_Figure02.png",1920,1080,"RGBA_DXT1_SRGB",False,1,2074576,377310,2048,CompressedHQ,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Textures/PrivacyLaw_Figure03.jpg",1920,1080,"RGBA_DXT1_SRGB",False,1,2074576,365251,2048,CompressedHQ,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT/Exhibits/PrivacyLawExhibit/Textures/PrivacyLaw_SourceBlueprint.png",2048,1055,"R8G8B8_SRGB",False,1,15125456,449433,2048,CompressedHQ,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/9night/drum.glb",1024,1024,"RGBA_DXT1_SRGB",False,11,1399104,12389116,0,,False,,False,"Repeat","Trilinear"
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb",1024,1024,"R8G8B8_SRGB",True,11,9787716,1533900,0,,False,,False,"Repeat","Point"
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb",1024,1024,"R8G8B8_SRGB",True,11,9787716,1465168,0,,False,,False,"Repeat","Point"
"Assets/BCaT_assets/BlackParlors/Assets/breonna-taylor-mural-img.jpeg",2048,1024,"RGBA_DXT1_SRGB",False,12,2797216,586038,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/BlackParlors/Assets/Parlor_img.jpg",1024,1024,"RGBA_DXT1_SRGB",False,11,1399104,298614,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
