path,type,fileBytes,vertices,triangles,subMeshes,reason
"Assets/DevDen Arch Viz Scotland/Materials/Environment/exterior_wall.mat","Material",3799,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Environment/handle.mat","Material",9845,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Environment/inner_roof3.mat","Material",4026,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Environment/livingroom_floor4.mat","Material",4116,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Environment/livingroom_wall3.mat","Material",4030,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/chimini.mat","Material",4097,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/Chopboard_mat.mat","Material",4100,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/chopping-board.mat","Material",9784,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/coffee_maker.mat","Material",9965,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/DrainerNew.mat","Material",4106,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/glass.mat","Material",4101,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/gold_tap_handle 1.mat","Material",4104,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/gold_tap_handle.mat","Material",4152,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/gold_tap_handle_1.mat","Material",4155,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/gold_tap_handle_2.mat","Material",9950,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/granite.mat","Material",4095,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/green_wood.mat","Material",4105,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/green_wood_1 Metal.mat","Material",9943,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/green_wood_1.mat","Material",9943,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/green_wood_2.mat","Material",4159,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/induction-hob.mat","Material",9924,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/kitchan_mat_2.mat","Material",4131,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/knife-block.mat","Material",9817,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/Knife_Holder_mat.mat","Material",4104,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/knives.mat","Material",9934,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/marble.mat","Material",4092,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/metal.mat","Material",4100,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/mug-tree.mat","Material",9832,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/Mug_Holder_mat.mat","Material",4101,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/steel.mat","Material",4100,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/toasterNew.mat","Material",4084,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/white_wood.mat","Material",4096,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/chair_2.mat","Material",10238,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/laptop.mat","Material",10155,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/NewCarpet.mat","Material",4154,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/Remote.mat","Material",9863,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/Sofa Set.mat","Material",4146,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/teatable.mat","Material",4105,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/TV.mat","Material",4133,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/TV_Panels.mat","Material",4176,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/TV_Shelf.mat","Material",4115,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Living Room/Window_1.mat","Material",9457,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Study Room","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_1.mat","Material",3860,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_2.mat","Material",3859,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_3.mat","Material",3859,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_4.mat","Material",3859,0,0,0,name/path heuristic
