path,fileBytes,meshAssets,totalVertices,totalTriangles,totalSubMeshes,readWrite,meshCompression,importMaterials,generateColliders,globalScale
"Assets/Food Pack-Demo/Mesh/Doughnut H.fbx",19612,1,426,212,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Frappe B.fbx",24780,1,602,276,2,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Hotdog A.fbx",18108,1,420,200,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Ice cream stick C.fbx",23260,1,680,245,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Ketchup Plastic Bottle.fbx",18060,1,516,248,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Lamb Chop Cooked.fbx",21900,1,756,342,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Lamb Chop.fbx",21820,1,759,342,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Lamb leg.fbx",19020,1,458,214,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Maki C1.fbx",16812,1,426,196,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Melon half.fbx",19388,1,480,190,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Melon Piece.fbx",14684,1,212,104,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Melon.fbx",17020,1,388,182,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Peach half no seed.fbx",15676,1,270,124,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Peach half with seed.fbx",15740,1,270,124,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Peach slice.fbx",14092,1,164,76,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Peach.fbx",17148,1,366,168,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Pizza Margarita cut.fbx",56956,1,2757,1291,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Pizza Margarita Slice.fbx",17532,1,362,171,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Pizza Margarita.fbx",53500,1,2604,1221,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Pretzel.fbx",22124,1,693,312,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Sake cup C.fbx",13932,1,208,96,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Sake Pot C.fbx",14108,1,184,92,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Salami A.fbx",16044,1,340,156,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Salami cut A.fbx",17692,1,409,171,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Salami slice A.fbx",18348,1,444,164,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Salmon Cut.fbx",17596,1,428,196,1,False,Off,False,False,1
