path,fileBytes,meshAssets,totalVertices,totalTriangles,totalSubMeshes,readWrite,meshCompression,importMaterials,generateColliders,globalScale
"Assets/Food Pack-Demo/Mesh/Salmon fillet.fbx",15580,1,252,120,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Salmon plastic tray.fbx",26524,1,686,332,2,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Salmon skeleton.fbx",31292,1,1246,572,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Salmon.fbx",23836,1,733,358,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Skewer C.fbx",26652,1,956,438,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Soda bottle Glass A.fbx",26236,1,772,358,2,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Soda can C.fbx",18908,1,542,254,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Sushi Wood Table.fbx",15324,1,316,148,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Swirl lollipop C.fbx",20172,1,701,337,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Tamago.fbx",14524,1,252,126,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Tomato Half.fbx",21164,1,610,262,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Tomato Quarter.fbx",21740,1,592,252,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Tomato.fbx",17132,1,364,162,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Udon.fbx",53996,1,2535,1229,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Unagi.fbx",16508,1,352,174,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Wasabi.fbx",14716,1,217,95,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Bell pepper green slice_collider.fbx",11692,1,24,44,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Bell pepper_collider.fbx",13596,1,72,140,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Bundt Cake cut_collider 1.fbx",11388,1,16,26,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Bundt Cake cut_collider 2.fbx",11388,1,16,26,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Bundt Cake Piece_collider.fbx",11196,1,10,16,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Bundt Cake_collider.fbx",11372,1,20,36,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Candy Cane_collider 1.fbx",12812,1,73,138,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Candy Cane_collider 2.fbx",12076,1,37,66,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Cheesecake_collider.fbx",10988,1,6,8,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Chopsticks A+B_collider.fbx",11036,1,8,12,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Chopsticks holder_collider.fbx",10988,1,8,12,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Coffee Cup_collider.fbx",11740,1,26,48,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Cookies_collider.fbx",11724,1,24,44,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Curry plate_collider.fbx",11644,1,25,46,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Doughnut_collider.fbx",12140,1,32,60,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Frappe B_collider 1.fbx",11052,1,8,8,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Frappe B_collider 2.fbx",11660,1,25,46,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Hotdog_collider.fbx",12444,1,50,96,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Ice cream stick B to H_collider.fbx",11292,1,18,30,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Ketchup+Mustard Plastic Bottle_collider.fbx",11356,1,18,32,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Lamb Chop Cooked.fbx",21900,1,756,342,1,False,Off,True,False,1
"Assets/Food Pack-Demo/Mesh Collider/Lamb Chop.fbx",21820,1,759,342,1,False,Off,True,False,1
"Assets/Food Pack-Demo/Mesh Collider/Lamb Chop_collider.fbx",11468,1,20,36,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Lamb leg.fbx",19020,1,458,214,1,False,Off,True,False,1
"Assets/Food Pack-Demo/Mesh Collider/Lamb leg_collider.fbx",12172,1,34,64,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Maki 1_collider.fbx",11340,1,24,44,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Melon half_collider.fbx",12300,1,42,80,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Melon Piece_collider.fbx",11436,1,18,32,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Melon_collider.fbx",12652,1,57,110,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Peach half_collider.fbx",12156,1,35,66,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Peach slice_collider.fbx",11548,1,16,28,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Peach_collider.fbx",12284,1,41,78,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh Collider/Pizza cut_collider.fbx",12556,1,50,96,1,False,Off,False,False,1
